,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
224,160.0202350306538,164.91891706392477,150.95430267086485,150.99835233577588,605.016778588295
225,156.07787339676858,160.6940012155306,145.82241346287327,145.09512426543685,602.7692723768167
226,149.1832470408343,155.346862869359,135.1826042597843,138.6926985468316,609.1823004323145
227,145.241289112142,152.4126616485842,129.9756823787964,134.20018799191394,609.1718544884607
228,143.6456921138175,150.23969434507083,126.03482182844924,128.99578953464612,596.7120656096293
229,139.51944652502894,146.56152322519208,117.18742128217465,120.73637413955883,587.518154230446
230,133.63690404680608,139.203521690957,110.99024469945365,110.6874258626324,581.7079737945721
231,125.62385857679867,130.41178830256578,101.86490248542965,97.96893343519422,576.39563083633
232,119.85586861968896,123.20318085320959,100.27007986455158,90.48756216639526,562.8325654870556
233,115.81955211461565,121.25678770683898,85.5488141527657,86.21500024409885,547.5490543919161
234,108.44011273370722,114.86297810829855,79.268045668873,78.44124897496808,535.6847226915511
235,99.33244339417082,103.48416189068679,68.62670832690759,72.0217318341917,554.7480161864835
236,92.42402449836631,92.23253812163642,60.605135908670626,60.1793923595043,542.2940547275821
237,90.42307328282612,90.75259129563486,65.14993649879746,55.68349961652038,480.1245019971328
238,79.23570890595099,76.14185185032045,52.42882259053031,42.61423886025599,521.9835464140962
239,72.85524319729545,70.96635072157625,47.63767644856785,36.53119519226854,529.8045219018001
240,75.45201407467145,68.68844171507403,52.09482862877859,31.297773312886854,493.88841980432016
241,74.26115293670011,67.135990690728,49.81741549749896,29.60126057170359,487.0127304173139
242,73.06620028178753,65.86599125305455,50.135802521589255,30.492543334584482,474.6590272946978
243,65.43805815870469,57.77880272840201,38.96190273271689,25.05016442494773,552.8630394080494
244,63.88730946146341,53.857098275028896,37.29728339000178,24.055627605303915,539.4944017703639
245,65.14145625800901,57.607374312527526,46.510417859626656,29.50702329160516,514.1330571785965
246,64.03197757970915,57.376852816947,47.688446721198034,30.396312395242894,507.14874136580823
247,63.73214167659923,56.483620830985295,46.44549514803772,29.42841565623484,512.5870305742685
248,64.54628168679778,55.938356184809805,47.2700119190325,29.981406391711623,509.3210347776665
249,68.22232700351223,61.62942957685041,47.92375912634503,29.961908143848664,475.0921248481526
250,68.26458098828692,61.27689629660671,48.880311719075124,30.584770661746855,499.83041397170354
251,70.24402765945798,64.0208700456801,51.65902093885977,31.920424721604643,504.9090505847156
252,69.39074471865933,65.91584479199526,49.945568309230474,36.65288387093671,526.842759791419
253,71.89529505231599,70.08792780613771,51.7897861282066,42.04480991455196,534.223067279645
254,76.64153151897018,74.84854070247904,55.00724638638689,49.22084208393094,546.0308967789778
255,86.9317469161063,85.97293290308043,67.33524562992861,57.383358514821886,537.3863532948377
256,91.40189029266465,94.66972250771478,71.05480025275719,65.15168371558491,543.3496274722403
257,99.40870595152651,106.7118587133666,77.20412125192126,74.56695650607655,550.8824884671202
258,107.97585140412609,114.27318836392314,86.06120196927576,87.51671440446312,545.7884091164458
259,113.32315597973563,117.36120755980188,92.6322846908783,91.23119145680128,556.0222071045359
260,119.48809551379937,123.52298489856071,99.86445802365283,99.0950680740707,558.5081837785206
261,126.36014571931126,128.84356201714513,105.63435077952805,113.3670772230548,579.1201743559906
262,131.94670990754875,136.2500199935595,115.22561815171656,119.51241210688976,591.3331040528452
263,132.87105639558465,137.75446775626298,121.98110835214003,126.45765892068417,594.7379263354815
264,139.01713483964278,143.54382238417324,130.56439107697395,137.64326038294004,595.8186449975932
265,141.6707790998006,147.26447116308992,136.95557430805763,146.0627891396248,594.0702071841271
266,148.7957344152873,151.19276859097036,149.66006332100355,154.61159258200115,581.6697840507367
267,153.66002449464858,157.44614560768025,156.85894596888335,165.89895832382956,576.1206386614089
268,159.12576653164484,160.58490496724724,166.06459414482427,169.63371778669486,579.6950083230611
269,161.45212615898183,163.75900654234735,170.8503394512657,175.47338304960473,589.0215329014126
270,164.03074897124102,167.31698327551163,174.26924638308986,179.4361170677591,590.596233595267
271,167.02524374277954,170.7164949845487,176.4093613386605,178.7051863657758,597.803229233201
272,166.32849474089247,169.16840249282185,175.30150213358797,179.7922103703136,595.3547804451542
273,165.68292155033467,168.21200756761792,173.45520503859188,177.51257101118085,597.2266298310784
274,164.1161442029807,166.68760789417738,170.43701025276872,172.95907748068282,598.0675653263745
275,161.1566670388637,163.9545147689239,165.64346497122185,167.98477047319605,594.1586430481011
276,157.89626129695046,160.04798030899497,160.30061562224876,160.0165556760246,597.9917321285936
277,152.20869052723114,153.2054374085579,151.20806225090212,148.64698402205593,598.4909115331055
278,147.58182058503326,150.92791379108354,141.14772639459974,143.35810483336942,597.7377004138415
279,143.47677124220687,146.60977486280694,134.67401919403667,136.48427801249264,590.9298662253182
280,138.406182404566,144.34410017131054,125.58695491462299,131.49158411201995,590.6276735466539
281,134.43470819858246,142.1239579642306,119.66545591812164,127.13794110302874,581.6910261916158
282,134.43207442434894,141.2877833836614,114.49472764836804,119.20018418171692,574.6527381624411
283,126.3607044691632,133.0685279743985,105.31504299429697,109.08336105801565,570.7224201369598
284,120.46698039264605,129.04783450447627,96.9473053912214,101.18571599946223,552.5908425138712
285,114.2546404803949,119.45112780655163,89.33931383625276,92.35082128335476,545.1500862359605
286,107.16104141098258,116.80974518872225,82.40500313490678,83.30222273357936,529.125460460827
287,101.44455460296454,107.43666703814121,74.19285024578969,75.79357447429582,539.1631704956421
288,95.02152816819854,100.87593885468401,67.70397930614583,68.10080412982121,528.4612006234739
289,89.14243599447296,92.33910462955858,63.10285031500219,59.21965964459989,498.27944937983585
290,82.29243647476163,81.83916402594248,54.53876310497306,51.600585236348834,531.4207221417743
291,77.69226394293355,77.06311069700399,50.23579713605871,42.619095853591446,526.7850017897333
292,68.8903718473187,67.38909407265082,46.59152958444406,35.096748324177234,531.9162978899157
293,66.93241133479638,64.54812427473854,45.577346852158264,29.99498701573142,518.3368207053294
294,65.23594517876526,60.84327946569433,42.81810985407075,26.14645286540188,517.0128054089904
295,64.86719547950652,55.03607877837481,38.09027419638779,23.2171739276551,538.4999622451994
296,64.0155965428402,54.38780631621709,37.67706792206438,21.175002690469135,529.9233819262125
297,60.834736158356634,52.868107462316416,34.529654065568444,20.48578253240651,533.3846794872226
298,67.99891701908288,66.23569141468504,48.865236395344304,33.8671666215016,465.92258948903645
299,67.44214371841521,65.55692429106499,48.951304476767554,34.18457494341522,462.7757459820375
300,67.93971656094682,65.05191251085753,49.54036176901157,31.70316660265397,468.5402824414871
301,60.96659141981159,53.8953767716986,36.51347635936134,21.819528089874265,539.1467122932908
302,65.66817205431896,54.271879978928645,38.34248894715962,26.784849461678554,518.2240709521456
303,68.02991543866848,61.95051934599302,43.684702454901874,30.49300075467943,525.1931934581268
304,71.32934657674176,67.55164098597726,49.24349638911505,36.21509561206632,526.4286610350034
305,70.94539641168097,69.8596218561882,53.337750734734755,43.18056666511293,526.3668331799937
306,83.68788871737306,79.49214123646911,57.90500536537031,56.60677884377285,528.0568693437848
307,90.22541903694632,92.27701942423555,69.43601021407301,62.49530781270492,541.80530422148
308,93.74487434674296,96.90137651694141,70.69870918050917,69.6656075956959,545.6407610052933
309,103.12103779087059,107.83762639554547,81.52645595449363,82.06115515646218,548.0246290119819
310,107.994971100862,111.7606117605964,86.40393606716665,90.10639352545846,555.1625166254174
311,113.87628457914575,117.65090596298246,94.13769401879327,94.847593454847,563.8861056415209
312,119.45412154888808,121.50262227719037,100.41527547268376,106.82775793533122,586.1475506199132
313,126.59251447136208,131.88503573510778,111.22771169619345,113.04356515810012,584.1887678538258
314,130.77589836166456,135.78626828228803,117.65731895668038,122.23024054590186,591.709967449308
315,133.02545339345983,139.3248287834344,123.75417075366667,132.35129177482509,597.0549339761291
316,136.67895151714143,142.51758989088452,131.84938689594517,139.27102120717657,596.9368732335258
317,141.89905368108353,144.89679329080272,142.60770649446408,146.23369205723466,591.1234561295316
318,146.74440755171764,149.62123866378653,152.20773292071786,155.78477821884604,584.4205149142442
319,153.6143662269439,155.86163325224717,162.0908667053028,166.2450792368095,587.0663995846062
320,159.53486866476922,162.54176484048583,170.48608396630488,178.30840657219827,591.7603136507138
321,162.11326449900824,166.18413708634938,173.07400238070414,175.4358772094228,595.6215349475515
322,164.03517799213603,168.1393081713586,175.29325159661704,174.54845108524825,596.5771243998755
323,165.15443352130052,169.3858899846127,175.6530859532261,174.5663253079157,595.879571764154
324,165.67137840421887,170.0034091982574,175.94581491942157,174.70230942979722,598.0490474030993
325,166.9469983368851,171.3785836186506,176.47733266323294,174.86948520480482,599.1527459491219
326,167.49910491790533,171.45424779287032,176.92024415083975,176.77289317490536,599.8512956907381
327,166.91083651357184,170.18520233775348,175.77978669969724,179.34967620594367,600.1345394646403
328,165.25840106719153,169.09771587596197,172.25639733226134,175.42006464052844,593.4230391159322
329,160.61912418481575,163.43475748812463,165.93113701334357,168.8009850891602,597.2337866276515
330,154.90715653054906,157.21889434417068,158.028154282992,158.4620879148055,599.1547122494549
331,148.2221633563106,150.42467286531058,149.1612271688014,148.75589823990114,599.0182379090759
332,144.18173778764,148.01538464982116,139.99420893494855,143.99474927792951,596.0707258391509
333,138.05824974545706,144.02040638320122,130.16678976815376,136.86492274341606,594.7814091666185
334,132.91866358019917,139.18892099352448,121.8895124675509,128.08450542323055,585.9737096415311
335,130.45733019807102,135.5108239226922,114.74891520865187,119.09716207745586,584.4936299406996
336,124.24806593727976,130.48293961731272,105.7005766954014,108.93721172949095,575.6326067654643
337,119.99386784623873,126.88637368930159,100.28864361254725,103.14257849949564,549.3684104856723
338,114.66389540030072,120.76525122176517,93.99159230503493,94.99104794583319,543.9491476362767
339,108.30411001628549,111.43457930225611,86.54705726520686,85.48844206055503,546.2443710637493
340,100.73045333023842,105.81811266687014,79.02654096936698,78.53054507065094,544.612363687397
341,97.01415113230932,99.02832612894498,72.97430897116591,75.85671658202676,530.9329396238468
342,89.37439567112365,92.2149853755636,68.72188294698384,63.61343497801243,531.793247005166
343,86.08656546409564,90.43930839504864,63.779114928583965,59.153594153511506,506.4064800578424
344,77.20935290932987,78.89749431342804,54.95541926622282,50.66137608549536,524.5887314451869
345,72.95243701701652,72.73267718614936,52.596259811356525,44.137894534028014,518.1550139058468
346,68.95338462739778,67.99526743943478,49.434351115770355,37.5258753332467,515.5029712514781
347,69.85984124514543,65.97548383057237,51.18275781246862,35.11680619390882,473.3092268214269
